month,city_name,TYPE,Outside Service Area,App Crash,No Open Stores in Feed,No_Search_Match,High Surge Selection,Add to Cart Failure,Item Config Failure,View Cart Failure,Order Cart Failure,Courier Cancel Failure,No Courier Found,Eater Cancel,Restaurant Cancel,No Restaurant Accept,Support Cancel,Missing Item,Wrong Order,Food Quality Failure,Never Received Order,Long ATD Failure,Down Courier Rating,No Failure,week_two,city_name,unique_total_sessions
2021-03-01 00:00:00.000,Eastern WV,CITY,74,83,785,110,35,82,19,83,525,19,177,392,13,120,42,173,24,39,36,805,60,5269,2021-03-01 00:00:00.000,Eastern WV,8225
2021-08-01 00:00:00.000,Charlottesville-Harrisonburg,CITY,73,133,2612,248,57,90,70,101,1141,34,28,293,49,231,169,375,61,39,100,1223,170,15162,2021-08-01 00:00:00.000,Charlottesville-Harrisonburg,21353
2021-09-01 00:00:00.000,State College,CITY,17,242,7769,219,50,391,47,66,1009,44,11,386,115,298,230,151,27,28,89,1217,162,5488,2021-09-01 00:00:00.000,State College,15648
2021-05-01 00:00:00.000,"Lancaster, PA",CITY,5,145,1057,199,59,72,77,159,834,23,31,196,35,221,143,416,28,55,67,1608,159,10987,2021-05-01 00:00:00.000,"Lancaster, PA",15578
2021-08-01 00:00:00.000,Wilkes-Barre Scranton,CITY,160,166,950,272,45,64,102,197,1980,75,21,371,85,336,270,790,77,141,151,1834,293,21706,2021-08-01 00:00:00.000,Wilkes-Barre Scranton,28717
2021-03-01 00:00:00.000,Roanoke,CITY,110,252,2936,409,71,369,83,360,1518,69,162,768,55,326,126,649,57,111,154,2706,218,20405,2021-03-01 00:00:00.000,Roanoke,29606
2021-11-01 00:00:00.000,Washington D.C.,CITY,1125,6255,3737,9587,84254,4490,5045,20245,77503,4175,98,16767,5429,12322,12570,9757,1337,1548,1449,53411,2431,1248125,2021-11-01 00:00:00.000,Washington D.C.,1517722
2021-11-01 00:00:00.000,Charlottesville-Harrisonburg,CITY,53,138,379,240,30,145,69,355,1450,103,15,431,68,435,238,189,19,19,25,515,58,23547,2021-11-01 00:00:00.000,Charlottesville-Harrisonburg,27255
2021-09-01 00:00:00.000,Roanoke,CITY,182,303,1230,355,31,77,105,221,1748,72,40,526,67,414,289,342,59,95,108,2106,215,24977,2021-09-01 00:00:00.000,Roanoke,32284
2021-04-01 00:00:00.000,Worcester,CITY,38,255,1734,301,189,280,135,215,1425,37,29,413,74,266,215,841,83,65,153,2248,261,21913,2021-04-01 00:00:00.000,Worcester,29602
2021-06-01 00:00:00.000,Greater Williamsport,CITY,80,31,227,49,13,12,11,63,282,10,13,108,10,38,44,105,10,14,13,191,30,3004,2021-06-01 00:00:00.000,Greater Williamsport,4136
2022-01-01 00:00:00.000,Hampton Roads,CITY,218,668,1809,1096,3708,510,685,825,11274,658,12,2563,692,1858,2478,5558,667,923,1031,12233,1479,155446,2022-01-01 00:00:00.000,Hampton Roads,196755
2021-04-01 00:00:00.000,Richmond,CITY,94,727,12422,723,5291,3426,337,590,3639,116,160,1321,236,740,900,2058,209,216,294,6310,511,49274,2021-04-01 00:00:00.000,Richmond,79937
2021-03-01 00:00:00.000,Philadelphia,CITY,317,6361,19002,6177,220125,11828,3424,6455,42647,1553,410,13374,4169,5394,4696,29219,2979,3235,4768,119737,7178,365151,2021-03-01 00:00:00.000,Philadelphia,749990
2021-07-01 00:00:00.000,Boston,CITY,570,5083,216402,7191,156902,2713,3150,4536,47021,2469,555,12791,4061,5722,6199,27049,3380,3577,5181,120442,8368,576140,2021-07-01 00:00:00.000,Boston,1075969
2021-11-01 00:00:00.000,Pittsburgh,CITY,215,830,1025,1409,16475,888,507,3892,10209,608,53,3325,826,3029,2860,1639,192,259,317,8461,390,107865,2021-11-01 00:00:00.000,Pittsburgh,154530
2021-12-01 00:00:00.000,"Reading, PA",CITY,45,45,100,113,13,23,53,72,827,46,2,219,48,174,194,405,52,55,73,647,109,9681,2021-12-01 00:00:00.000,"Reading, PA",12377
2021-02-01 00:00:00.000,Boston,CITY,446,5659,17936,8350,93805,12613,2147,5915,36522,1447,2415,9176,3050,3945,2930,22939,3200,2809,5333,72092,7699,637598,2021-02-01 00:00:00.000,Boston,904870
2021-08-01 00:00:00.000,Eastern Shore,CITY,195,143,835,300,125,74,44,102,1101,48,164,412,60,193,332,375,35,49,84,1875,144,10597,2021-08-01 00:00:00.000,Eastern Shore,16103
2021-09-01 00:00:00.000,Harrisburg,CITY,95,485,714,410,35,86,171,370,2841,112,18,601,101,737,877,682,125,179,224,3523,495,37533,2021-09-01 00:00:00.000,Harrisburg,48593
2021-03-01 00:00:00.000,Eastern Shore,CITY,58,83,562,140,116,55,43,61,588,30,96,170,37,164,53,188,27,22,35,830,61,5515,2021-03-01 00:00:00.000,Eastern Shore,8267
2021-06-01 00:00:00.000,Hampton Roads,CITY,96,1002,2985,1159,1179,389,682,1268,9532,407,40,1708,487,1863,1519,4783,446,704,743,11037,1300,123428,2021-06-01 00:00:00.000,Hampton Roads,160031
2021-02-01 00:00:00.000,Hampton Roads,CITY,81,859,5870,1410,4016,2420,633,1235,6581,327,151,1921,485,1334,491,3963,418,475,715,9408,1156,74407,2021-02-01 00:00:00.000,Hampton Roads,110341
2021-12-01 00:00:00.000,Roanoke,CITY,110,104,194,269,27,59,118,159,1464,80,21,409,64,487,310,651,67,107,111,1150,118,24365,2021-12-01 00:00:00.000,Roanoke,29369
2021-01-01 00:00:00.000,Philadelphia,CITY,161,3690,6585,4553,41432,7804,2672,6372,34504,1641,513,7566,3794,5303,2905,26084,2749,3096,4412,49473,6670,525475,2021-01-01 00:00:00.000,Philadelphia,707659
2021-08-01 00:00:00.000,Western MA,CITY,76,131,1342,141,45,77,54,138,1194,71,29,500,60,254,235,543,58,68,126,1311,173,9847,2021-08-01 00:00:00.000,Western MA,15112
2021-09-01 00:00:00.000,York-Gettysburg,CITY,117,194,996,234,23,39,84,161,1235,56,21,339,51,272,264,284,57,67,79,1521,183,13539,2021-09-01 00:00:00.000,York-Gettysburg,18743
2021-01-01 00:00:00.000,Erie,CITY,40,30,1549,66,12,185,21,84,337,9,26,246,40,85,21,133,13,19,41,403,64,2784,2021-01-01 00:00:00.000,Erie,5385
2021-09-01 00:00:00.000,"Portland, ME",CITY,157,146,2810,289,23,57,53,118,1133,35,46,363,71,293,203,215,44,38,66,1964,161,12392,2021-09-01 00:00:00.000,"Portland, ME",19187
2021-12-01 00:00:00.000,"Lancaster, PA",CITY,6,85,886,180,15,66,61,87,962,62,21,262,70,203,261,463,51,64,97,1202,137,13086,2021-12-01 00:00:00.000,"Lancaster, PA",17372
2021-05-01 00:00:00.000,York-Gettysburg,CITY,73,172,496,215,48,52,54,186,948,39,24,260,59,253,140,489,43,60,88,1649,155,12445,2021-05-01 00:00:00.000,York-Gettysburg,16997
2021-10-01 00:00:00.000,New Hampshire,CITY,305,235,1822,271,124,73,69,231,2071,106,48,599,100,577,497,189,16,34,33,932,91,28960,2021-10-01 00:00:00.000,New Hampshire,35677
2021-03-01 00:00:00.000,"Reading, PA",CITY,58,129,1334,128,65,159,84,139,839,29,80,295,42,113,89,457,51,49,84,1300,167,7831,2021-03-01 00:00:00.000,"Reading, PA",12278
2021-09-01 00:00:00.000,Washington D.C.,CITY,1307,14632,28757,10501,87706,3725,5760,8673,77469,4074,127,21083,5609,10838,15932,16526,4845,4588,5757,236344,13043,1240425,2021-09-01 00:00:00.000,Washington D.C.,1726021
2021-04-01 00:00:00.000,Harrisburg,CITY,73,395,2780,390,93,602,167,451,2082,58,50,719,99,386,575,1191,95,165,165,3942,370,30003,2021-04-01 00:00:00.000,Harrisburg,42066
2021-05-01 00:00:00.000,Charlottesville-Harrisonburg,CITY,70,161,1626,260,49,129,66,114,824,18,30,237,45,227,89,387,38,45,60,1078,125,13878,2021-05-01 00:00:00.000,Charlottesville-Harrisonburg,18675
2021-11-01 00:00:00.000,"Portland, ME",CITY,93,65,315,169,29,76,39,319,1001,49,20,484,68,230,252,86,7,15,12,369,19,12790,2021-11-01 00:00:00.000,"Portland, ME",15479
2021-06-01 00:00:00.000,Harrisburg,CITY,79,283,686,359,54,83,149,355,2315,63,24,535,83,541,491,1395,109,196,243,3003,370,32633,2021-06-01 00:00:00.000,Harrisburg,42312
2021-06-01 00:00:00.000,Worcester,CITY,48,194,876,230,138,75,138,213,1597,44,71,453,73,260,206,838,100,127,144,1738,272,21634,2021-06-01 00:00:00.000,Worcester,28254
