month,city_name,TYPE,Outside Service Area,App Crash,No Open Stores in Feed,No_Search_Match,High Surge Selection,Add to Cart Failure,Item Config Failure,View Cart Failure,Order Cart Failure,Courier Cancel Failure,No Courier Found,Eater Cancel,Restaurant Cancel,No Restaurant Accept,Support Cancel,Missing Item,Wrong Order,Food Quality Failure,Never Received Order,Long ATD Failure,Down Courier Rating,No Failure,week_two,city_name,unique_total_sessions
2021-07-01 00:00:00.000,Pittsburg_PA,CITY,839,2370,22550,3287,8067,1246,1053,2612,22126,775,531,5951,1385,5280,4852,12705,1133,1625,1726,45337,3544,266494,2021-07-01 00:00:00.000,Pittsburg_PA,390051
2022-01-01 00:00:00.000,Boston,CITY,336,4768,10554,6635,163949,4418,3015,2740,53882,3215,115,13589,4512,7503,6358,29394,3989,3836,6534,99459,8665,818499,2022-01-01 00:00:00.000,Boston,1167109
2021-11-01 00:00:00.000,Baltimore_MD,CITY,538,1710,1587,2252,27189,1085,1262,6489,22461,1068,78,5541,1339,4282,5003,3387,485,533,469,10386,729,259786,2021-11-01 00:00:00.000,Baltimore_MD,337197
2021-07-01 00:00:00.000,Boston Surrounding-Providence,CITY,198,653,10353,1092,1325,248,276,683,6951,242,135,1763,368,1199,998,3655,414,482,682,7458,1131,84635,2021-07-01 00:00:00.000,Boston Surrounding-Providence,118512
2021-07-01 00:00:00.000,Boston,CITY,570,5083,216402,7191,156902,2713,3150,4536,47021,2469,555,12791,4061,5722,6199,27049,3380,3577,5181,120442,8368,576140,2021-07-01 00:00:00.000,Boston,1075969
2021-03-01 00:00:00.000,Philadelphia,CITY,1422,20269,40631,21641,568134,35627,7912,19142,123864,5089,1267,33024,12418,13821,10699,75414,8101,9157,12616,275340,20850,1341444,2021-03-01 00:00:00.000,Philadelphia,2374408
2021-01-01 00:00:00.000,Boston Surrounding-Providence,CITY,132,584,9850,961,891,1941,362,845,4804,135,176,1887,409,809,324,3321,326,392,690,6003,975,72739,2021-01-01 00:00:00.000,Boston Surrounding-Providence,101250
2021-02-01 00:00:00.000,New_England,CITY,519,3072,24617,4789,10763,7181,1143,3191,21932,942,1484,8104,2172,3418,1789,12254,1354,1404,2373,33200,3470,332901,2021-02-01 00:00:00.000,New_England,454838
2021-04-01 00:00:00.000,New_England,CITY,602,5480,26339,5118,12683,5885,1427,3769,25694,1008,477,7723,2166,3728,4460,14810,1473,1703,2325,44355,4045,477124,2021-04-01 00:00:00.000,New_England,623151
2021-05-01 00:00:00.000,New_England,CITY,702,6125,11442,5089,23386,2515,1572,3626,26653,1092,196,6615,2517,4837,4384,15064,1445,1682,2495,44095,4135,452367,2021-05-01 00:00:00.000,New_England,595494
2021-10-01 00:00:00.000,Boston,CITY,1618,8032,504779,8921,135466,3209,3744,6006,61850,4798,93,13691,4966,8329,7418,7407,1018,1034,1746,40213,2804,631276,2021-10-01 00:00:00.000,Boston,1307029
2021-05-01 00:00:00.000,Philadelphia,CITY,1746,23629,11806,21826,256255,9533,10380,16730,118235,5132,322,26574,12329,18382,17692,72968,7045,8506,11048,198275,19476,1713871,2021-05-01 00:00:00.000,Philadelphia,2432854
2021-05-01 00:00:00.000,Boston Surrounding-Providence,CITY,174,1144,4129,1183,1616,611,311,793,5689,198,102,1601,330,993,843,3194,328,338,576,8150,1027,80377,2021-05-01 00:00:00.000,Boston Surrounding-Providence,108066
2021-08-01 00:00:00.000,DC,CITY,892,8919,45462,9669,106345,3882,5298,9054,83364,3764,693,22428,5590,10885,13853,37654,6391,5940,7186,237874,13485,1293828,2021-08-01 00:00:00.000,DC,1825083
2021-01-01 00:00:00.000,Richmond_VA_WVA,CITY,466,1841,18128,2969,7106,4456,1574,2673,15260,642,673,4945,1035,3175,1043,9179,993,1165,1699,20706,2737,279646,2021-01-01 00:00:00.000,Richmond_VA_WVA,362928
2021-05-01 00:00:00.000,Richmond_VA_WVA,CITY,564,2621,12903,2619,7098,2966,1342,2459,14612,587,328,3938,751,3378,2643,7381,718,908,1249,23788,2121,161121,2021-05-01 00:00:00.000,Richmond_VA_WVA,238753
2021-07-01 00:00:00.000,Richmond_VA_WVA,CITY,621,1954,9904,2779,4203,812,1019,2374,19411,862,299,4135,1139,4304,3354,10341,962,1328,1687,24191,2940,265984,2021-07-01 00:00:00.000,Richmond_VA_WVA,349394
2022-01-01 00:00:00.000,Richmond_VA_WVA,CITY,668,1501,4612,2813,6538,1193,1404,1526,22819,1218,106,6155,1446,4300,5163,11468,1398,1791,2023,28573,2951,321091,2022-01-01 00:00:00.000,Richmond_VA_WVA,410410
2021-12-01 00:00:00.000,Philadelphia,CITY,1458,11197,4645,11965,78503,6642,7992,9584,132110,7905,197,30826,12461,19170,21139,71038,10585,9101,11892,180646,15397,1959588,2021-12-01 00:00:00.000,Philadelphia,2506436
2022-01-01 00:00:00.000,DC,CITY,966,6081,18129,7853,130179,5905,4982,4687,72979,3201,342,17120,5901,11883,11431,37062,6218,5022,6306,172876,10624,1190928,2022-01-01 00:00:00.000,DC,1624611
